Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
BTG,B2Gold Corp Common shares (Canada),$2.81,-0.05,-1.748%,3661286597.00,Canada,,4482496,,
BTTR,Better Choice Company Inc. Common Stock,$6.19,-1.55,-20.026%,5098406.00,,2021,64100,Consumer Staples,Beverages (Production/Distribution)
BURU,Nuburu Inc. Common Stock,$0.1699,0.0019,1.131%,6268345.00,United States,2020,311936,Technology,Industrial Machinery/Components
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$2.4161,0.0661,2.813%,10951676.00,Israel,,544,Health Care,Biotechnology: Pharmaceutical Preparations
CATX,Perspective Therapeutics Inc. Common Stock,$1.455,-0.025,-1.689%,853962747.00,United States,,268404,Health Care,Medical/Dental Instruments
CCEL,Cryo-Cell International Inc. Common Stock,$7.43,0.00,0.00%,61570813.00,United States,2022,312,Health Care,Managed Health Care
CEI,Camber Energy Inc. Common Stock,$0.22,-0.012,-5.172%,32766866.00,United States,,3023666,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$41.54,0.25,0.605%,10053726808.00,United States,1951,5971,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$10.60,0.005,0.047%,74555895.00,United States,1999,1188,Finance,Investment Managers
CHAA,Catcha Investment Corp. Class A Ordinary Shares,$11.26,-0.01,-0.089%,0.00,,2021,621,Finance,Blank Checks
CHRO,Chromocell Therapeutics Corporation Common Stock,$2.2817,-0.0083,-0.362%,13159762.00,,2024,8541,,
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$2.95,0.03,1.027%,0.00,United States,,12440,Finance,Finance/Investors Services
CIX,CompX International Inc. Common Stock,$34.98,0.69,2.012%,430735220.00,United States,1998,4603,Consumer Discretionary,Industrial Machinery/Components
CKX,CKX Lands Inc. Common Stock,$13.37,0.00,0.00%,26624176.00,United States,2003,379,Energy,Oil & Gas Production
CLDI,Calidi Biotherapeutics Inc. Common Stock,$0.4178,0.0217,5.478%,14847791.00,,2021,75784,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$7.715,0.065,0.85%,0.00,United States,2003,752783,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$11.20,0.29,2.658%,214928000.00,Canada,,900,Basic Materials,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$17.22,-0.71,-3.96%,155680923.00,United States,1996,4962,Industrials,Plastic Products
COE,51Talk Online Education Group American depositary shares each representing 60 Class A ordinary shares,$6.90,-0.11,-1.569%,38848863.00,China,2016,2009,Real Estate,Other Consumer Services
COHN,Cohen & Company Inc.,$7.49,0.2158,2.967%,14442008.00,United States,,187,Finance,Investment Bankers/Brokers/Service
CPHI,China Pharma Holdings Inc. Common Stock,$0.3398,0.021,6.587%,5034771.00,China,,15486,Health Care,Biotechnology: Pharmaceutical Preparations
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$7.7661,0.0861,1.121%,0.00,United States,2003,542091,Finance,Finance/Investors Services
CTGO,Contango ORE Inc. Common Stock,$19.69,-0.15,-0.756%,185088520.00,United States,2021,9721,Basic Materials,Precious Metals
CTM,Castellum Inc. Common Stock,$0.2656,-0.0094,-3.418%,14084745.00,,2022,54595,Technology,EDP Services
CVM,Cel-Sci Corporation Common Stock,$1.73,-0.04,-2.26%,86680320.00,United States,1997,13158,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$15.81,-0.03,-0.189%,15274547.00,United States,1930,247,Industrials,Industrial Machinery/Components
CVU,CPI Aerostructures Inc. Common Stock,$2.60,0.27,11.588%,32948256.00,United States,2022,345998,Industrials,Military/Government/Technical
CYBN,Cybin Inc. Common Shares,$0.4306,0.0155,3.734%,110480561.00,Canada,,1253364,Health Care,Pharmaceuticals and Biotechnology
DC,Dakota Gold Corp. Common Stock,$2.74,-0.02,-0.725%,240308801.00,United States,2022,69865,Basic Materials,Precious Metals
DDC,DDC Enterprise Limited Class A Ordinary Shares,$1.43,0.03,2.143%,28489987.00,,2023,471,Basic Materials,Metal Mining
DHY,Credit Suisse High Yield Bond Fund Common Stock,$2.05,0.02,0.985%,0.00,United States,1998,303045,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$176.69,0.00,0.00%,111378662.00,United States,1999,12,Consumer Discretionary,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$2.78,0.03,1.091%,19602197.00,United States,2000,6586,Consumer Staples,Apparel
DMF,BNY Mellon Municipal Income Inc. Common Stock,$6.76,0.045,0.67%,421086173.00,United States,1988,4340,Finance,Finance/Investors Services
DNN,Denison Mines Corp Ordinary Shares (Canada),$2.07,-0.07,-3.271%,1844362488.00,Canada,,4128338,,
DPSI,DecisionPoint Systems Inc. Common Stock,$8.9617,-0.1248,-1.373%,68828849.00,,2022,858,Technology,Retail: Computer Software & Peripheral Equipment
DSS,DSS Inc. Common Stock,$1.8804,0.0034,0.181%,13288358.00,United States,,3212,Consumer Discretionary,Containers/Packaging
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$0.2849,0.0117,4.283%,618742.00,China,,95539,Finance,Finance: Consumer Services
EAD,Allspring Income Opportunities Fund Common Shares,$6.58,0.04,0.612%,0.00,United States,2003,64154,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$7.95,0.01,0.126%,0.00,United States,1986,5479,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$22.51,0.00,0.00%,,United States,,2,,
EFSH,1847 Holdings LLC Common Shares,$2.50,-0.23,-8.425%,1979468.00,,2022,176420,Consumer Discretionary,Professional Services
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$10.13,0.065,0.646%,0.00,United States,2002,64759,Finance,Finance/Investors Services
ELA,Envela Corporation Common Stock,$4.56,0.03,0.662%,120157883.00,United States,,499,Consumer Discretionary,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$16.22,0.52,3.312%,208427000.00,Israel,,738,Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$15.39,0.02,0.13%,132434444.00,United States,2011,9877,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMX,EMX Royalty Corporation Common Shares (Canada),$1.895,-0.055,-2.821%,212626656.00,Canada,,266129,Basic Materials,Metal Mining
ENSV,Enservco Corporation Common Stock,$0.27,-0.02,-6.897%,7257504.00,United States,,383238,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.68,0.05,0.519%,0.00,United States,2002,4179,Finance,Finance/Investors Services
EP,Empire Petroleum Corporation Common Stock,$5.80,0.00,0.00%,148617309.00,United States,2022,61380,Energy,Oil & Gas Production
EPM,Evolution Petroleum Corporation Inc. Common Stock,$6.0381,-0.0619,-1.015%,202012666.00,United States,,27907,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$6.115,-0.135,-2.16%,1978842716.00,Canada,,935523,,
ERC,Allspring Multi-Sector Income Fund Common Stock,$9.29,0.06,0.65%,0.00,United States,2003,31107,Finance,Finance/Investors Services
ERH,Allspring Utilities and High Income Fund Common Shares,$9.254,0.014,0.152%,0.00,,2004,3003,Finance,Finance/Investors Services
ESP,Espey Mfg. & Electronics Corp. Common Stock,$24.2927,-0.3473,-1.409%,65855882.00,United States,1960,569,Technology,Industrial Machinery/Components
EVBN,Evans Bancorp Inc. Common Stock,$29.015,0.165,0.572%,159831826.00,United States,,345,Finance,Major Banks
EVE,EVe Mobility Acquisition Corp Class A Ordinary Shares,$10.97,-0.03,-0.273%,0.00,,2022,569,Finance,Blank Checks
EVI,EVI Industries Inc.  Common Stock,$22.82,-0.26,-1.127%,289226682.00,United States,1999,587,Consumer Discretionary,Other Consumer Services
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.40,-0.04,-0.424%,0.00,United States,2002,23935,Finance,Finance/Investors Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$9.67,0.06,0.624%,0.00,United States,2003,119224,Finance,Finance/Investors Services
FAX,abrdn Asia-Pacific Income Fund Inc. Common Stock,$2.695,0.015,0.56%,0.00,United States,1986,125824,Finance,Investment Managers
FCO,abrdn Global Income Fund Inc. Common Stock,$5.4699,0.0199,0.365%,0.00,United States,1992,14659,Finance,Investment Managers
FEN,First Trust Energy Income and Growth Fund,$16.50,-0.06,-0.362%,0.00,United States,2004,9317,Finance,Finance/Investors Services
FLYX,flyExclusive Inc. Class A Common Stock,$4.5199,0.1199,2.725%,77855169.00,,2023,10206,Finance,Blank Checks
FOXO,FOXO Technologies Inc. Class A Common Stock,$0.335,-0.0002,-0.06%,2996921.00,,2022,142036,Technology,Retail: Computer Software & Peripheral Equipment
FRD,Friedman Industries Inc. Common Stock,$19.365,0.065,0.337%,135096263.00,United States,1975,1822,Industrials,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$2.26,0.00,0.00%,28138202.00,Canada,2002,38851,Consumer Discretionary,Recreational Games/Products/Toys
FSP,Franklin Street Properties Corp. Common Stock,$2.13,0.03,1.429%,220306652.00,United States,,46753,Real Estate,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$6.23,0.02,0.322%,251725480.00,United States,2003,175456,Finance,Finance/Investors Services
FURY,Fury Gold Mines Limited Common Shares,$0.5452,0.0352,6.902%,79352470.00,,2020,175044,Basic Materials,Precious Metals
GAU,Galiano Gold Inc.,$1.46,-0.09,-5.806%,328435934.00,Canada,,703215,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GBR,New Concept Energy Inc Common Stock,$1.145,-0.035,-2.966%,5876064.00,United States,1993,9309,Energy,Oil & Gas Production
GENC,Gencor Industries Inc. Common Stock,$17.78,0.05,0.282%,260613942.00,United States,,17270,Industrials,Construction/Ag Equipment/Trucks
GGN,GAMCO Global Gold Natural Resources & Income Trust,$3.995,-0.005,-0.125%,0.00,United States,2005,86647,Finance,Finance/Investors Services
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$22.06,0.18,0.823%,,United States,,270,,
GLDG,GoldMining Inc. Common Shares,$0.8922,-0.0228,-2.492%,164022474.00,,,168727,Basic Materials,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$5.1025,0.0125,0.246%,0.00,United States,2006,16534,Finance,Finance/Investors Services
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$6.53,0.02,0.307%,0.00,United States,2005,8557,Finance,Finance/Investors Services
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$14.9306,0.0306,0.205%,89119423.00,United States,2004,3081,Finance,Finance/Investors Services
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$49.90,0.019,0.038%,,United States,,150,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$5.57,0.01,0.18%,70792377.00,United States,2004,10561,Finance,Finance/Investors Services
GNS,Genius Group Limited Ordinary Shares,$0.4532,-0.0103,-2.222%,23067906.00,Singapore,2022,850125,Real Estate,Other Consumer Services
GORO,Gold Resource Corporation Common Stock,$0.6211,0.0041,0.665%,55127352.00,United States,,640099,Basic Materials,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$9.39,0.09,0.968%,0.00,United States,,161,Finance,Finance/Investors Services
GRFX,Graphex Group Limited American Depositary Shares each American Depositary Share representing 20 Ordinary Shares,$0.26,0.0035,1.365%,202136194.00,,2022,7631,,
GROY,Gold Royalty Corp. Common Shares,$1.9696,-0.0804,-3.922%,285533473.00,Canada,2021,381940,Basic Materials,Precious Metals
GSAT,Globalstar Inc. Common Stock,$1.335,-0.005,-0.373%,2536500000.00,United States,2006,266063,Consumer Discretionary,Telecommunications Equipment
GTE,Gran Tierra Energy Inc. Common Stock,$8.19,0.05,0.614%,264098843.00,Canada,,82171,Energy,Oil & Gas Production
HNRA,HNR Acquisition Corp Class A Common Stock,$2.75,-0.101,-3.543%,0.00,,2022,41894,Energy,Oil & Gas Production
HNW,Pioneer Diversified High Income Fund Inc.,$11.816,0.066,0.562%,0.00,United States,2007,1788,Finance,Finance/Investors Services
HUSA,Houston American Energy Corporation Common Stock,$1.63,-0.12,-6.857%,17777355.00,United States,,131746,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$60.50,0.00,0.00%,,United States,,1,,
IAF,abrdn Australia Equity Fund Inc. Common Stock,$4.37,0.06,1.392%,0.00,United States,1985,13246,Finance,Finance/Investors Services
IAUX,i-80 Gold Corp. Common Shares,$1.1614,-0.1986,-14.603%,346680611.00,Canada,2022,6228495,Basic Materials,Precious Metals
IBIO,iBio Inc. Common Stock,$2.3921,0.2821,13.37%,8334713.00,United States,,368452,Health Care,Biotechnology: Pharmaceutical Preparations
IDR,Idaho Strategic Resources Inc. Common Stock,$8.80,-0.18,-2.004%,110526926.00,,2022,6499,Basic Materials,Precious Metals
IE,Ivanhoe Electric Inc. Common Stock,$10.82,0.24,2.268%,1301715399.00,Canada,2022,128706,Basic Materials,Metal Mining
IGC,IGC Pharma Inc. Common Stock,$0.5501,-0.0994,-15.304%,35060315.00,United States,,644106,Health Care,Biotechnology: Pharmaceutical Preparations
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$1.35,-0.03,-2.174%,12157838.00,United States,1999,9413,Real Estate,Real Estate Investment Trusts
IMO,Imperial Oil Limited Common Stock,$72.56,-0.36,-0.494%,38880318426.00,Canada,1929,45936,Energy,Integrated oil Companies
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$2.96,-0.07,-2.31%,30014400.00,,2019,50865,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$8.08,-0.23,-2.768%,171162890.00,United States,,10091,Health Care,Medical/Dental Instruments
INLX,Intellinetics Inc. Common Stock,$7.36,0.16,2.222%,30276251.00,,2022,3984,Technology,EDP Services
INTT,inTest Corporation Common Stock,$13.415,0.165,1.245%,163189424.00,United States,1997,22078,Industrials,Electrical Products
INUV,Inuvo Inc.,$0.3473,-0.0059,-1.67%,48351378.00,United States,,51338,Consumer Discretionary,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$17.00,0.00,0.00%,69882138.00,United States,1987,6,Real Estate,Real Estate Investment Trusts
ISDR,Issuer Direct Corporation Common Stock,$12.4925,-0.2175,-1.711%,47661536.00,United States,,3767,Consumer Discretionary,Publishing
ITP,IT Tech Packaging Inc. Common Stock,$0.265,-0.003,-1.119%,2667469.00,China,,3531,Consumer Discretionary,Containers/Packaging
ITRG,Integra Resources Corp. Common Shares,$0.855,0.007,0.825%,73007831.00,,,228246,,
JOB,GEE Group Inc. Common Stock,$0.3533,0.0006,0.17%,38428999.00,United States,1968,33246,Consumer Discretionary,Diversified Commercial Services
JWSM,Jaws Mustang Acquisition Corp. Class A Ordinary Shares,$11.0098,0.0094,0.085%,0.00,,2021,348,Finance,Blank Checks
KNW,Know Labs Inc. Common Stock,$0.6401,0.0003,0.047%,52069910.00,,2022,29493,Industrials,Industrial Machinery/Components
KULR,KULR Technology Group Inc. Common Stock,$0.6821,0.0966,16.499%,87230136.00,United States,,17907888,Technology,Electrical Products
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$1.4447,0.0447,3.193%,272374399.00,United States,,153623,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEGT,Legato Merger Corp. III Ordinary Shares,$10.06,0.00,0.00%,0.00,,2024,4,,
LEU,Centrus Energy Corp. Class A Common Stock,$44.30,-0.48,-1.072%,694430586.00,United States,2014,26912,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
LGL,LGL Group Inc. (The) Common Stock,$5.99,0.00,0.00%,32184599.00,United States,1946,25,Technology,Industrial Machinery/Components
LODE,Comstock Inc. Common Stock,$0.369,0.039,11.818%,42737942.00,United States,,927687,Industrials,Major Chemicals
LPA,Logistic Properties of the Americas Ordinary Shares,$7.70,-0.25,-3.145%,0.00,,2024,4567,,
LPTV,Loop Media Inc. Common Stock,$0.3273,-0.0047,-1.416%,23189602.00,United States,2022,81617,Industrials,Broadcasting
LSF,Laird Superfood Inc. Common Stock,$2.33,0.05,2.193%,21936309.00,,2020,74082,Consumer Staples,Packaged Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$10.35,0.23,2.273%,277738400.00,United Kingdom,2012,18569,Industrials,Major Chemicals
MAG,MAG Silver Corporation Ordinary Shares,$12.135,-0.005,-0.041%,1249281419.00,Canada,,408258,,
MAIA,MAIA Biotechnology Inc. Common Stock,$2.435,0.085,3.617%,48706881.00,,2022,60285,Health Care,Biotechnology: Pharmaceutical Preparations
MGLD,The Marygold Companies Inc. Common Stock,$1.13,0.00,0.00%,44503309.00,,2022,66,Finance,Finance: Consumer Services
MHH,Mastech Digital Inc Common Stock,$9.03,0.00,0.00%,104858031.00,United States,,23,Consumer Discretionary,Professional Services
MI,NFT Limited Class A Ordinary Share,$0.1512,0.0012,0.80%,5290773.00,,2023,71701,Consumer Discretionary,Other Specialty Stores
MITQ,Moving iMage Technologies Inc. Common Stock,$0.5253,0.00,0.00%,5504733.00,United States,2021,119,Telecommunications,Telecommunications Equipment
MLSS,Milestone Scientific Inc. Common Stock,$0.6149,-0.0049,-0.791%,47102641.00,United States,2015,25810,Health Care,Industrial Specialties
MMA,Alta Global Group Limited Ordinary Shares,$3.94,0.00,0.00%,40454683.00,,2024,2847,,
MPTI,M-tron Industries Inc. Common Stock,$26.67,-0.27,-1.002%,74570147.00,,2022,14006,,
MPU,Mega Matrix Corp. Common Stock,$2.725,0.045,1.679%,97758369.00,United States,1998,122145,Consumer Discretionary,Diversified Commercial Services
MRT,Marti Technologies Inc. Class A Ordinary Shares,$1.21,0.12,11.009%,21742188.00,,2021,778967,Consumer Discretionary,Rental/Leasing Companies
MSN,Emerson Radio Corporation Common Stock,$0.536,0.0058,1.094%,11278861.00,United States,1994,657,Consumer Staples,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$3.29,-0.07,-2.083%,300735117.00,,,310327,Basic Materials,Precious Metals
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.2152,0.0024,1.128%,46802305.00,United States,2017,238822,Health Care,Biotechnology: Pharmaceutical Preparations
MWG,Multi Ways Holdings Limited Ordinary Shares,$0.322,-0.001,-0.31%,7985600.00,,2023,113,Consumer Discretionary,Miscellaneous manufacturing industries
MXC,Mexco Energy Corporation Common Stock,$13.12,-0.04,-0.304%,27523635.00,United States,2003,4591,Energy,Oil & Gas Production
MYND,Mynd.ai Inc. American Depositary Shares,$4.52,0.218,5.067%,206327975.00,,2017,15518,Real Estate,Other Consumer Services
MYO,Myomo Inc. Common Stock,$3.1789,0.1289,4.226%,90557858.00,United States,2017,82846,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.317,-0.0051,-1.583%,167985594.00,Canada,,155206,Basic Materials,Precious Metals
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$10.265,0.035,0.342%,0.00,United States,2002,27586,Finance,Finance/Investors Services
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$0.0923,-0.0088,-8.704%,2778059.00,United States,2007,1071137,Health Care,Biotechnology: Pharmaceutical Preparations
NCL,Northann Corp. Common Stock,$0.4901,-0.0499,-9.241%,10478338.00,,2023,73443,,
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$70.50,0.00,0.00%,200071316.00,United States,,4,Real Estate,Building operators
NEWP,New Pacific Metals Corp. Common Shares,$1.7499,0.0399,2.333%,299595803.00,,2021,156700,Basic Materials,Precious Metals
NFGC,New Found Gold Corp Common Shares,$3.975,0.075,1.923%,742820223.00,,2021,354483,Basic Materials,Precious Metals
NG,Novagold Resources Inc.,$3.17,-0.02,-0.627%,1059956777.00,Canada,2003,469823,Basic Materials,Precious Metals
NGD,New Gold Inc.,$1.76,-0.06,-3.297%,1206656000.00,Canada,,3365669,Basic Materials,Metal Mining
NHC,National HealthCare Corporation Common Stock,$92.285,-0.305,-0.329%,1416573735.00,United States,1986,1420,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$8.075,0.015,0.186%,0.00,United States,,37809,Finance,Trusts Except Educational Religious and Charitable
NML,Neuberger Berman Energy Infrastructure and Income Fund Inc. Common Stock,$7.38,-0.04,-0.539%,0.00,,2013,83383,Finance,Finance/Investors Services
NNVC,NanoViricides Inc. Common Stock,$1.39,0.02,1.46%,16372810.00,United States,,5739,Health Care,Biotechnology: Pharmaceutical Preparations
NRO,Neuberger Berman Real Estate Securities Income Fund Inc.,$3.3275,0.0375,1.14%,0.00,United States,2003,23963,Finance,Finance/Investors Services
NRXS,Neuraxis Inc. Common Stock,$3.22,0.06,1.899%,17032235.00,,2023,193,,
NTIP,Network-1 Technologies Inc. Common Stock,$2.08,-0.04,-1.887%,48900840.00,United States,,153,Miscellaneous,Multi-Sector Companies
OBE,Obsidian Energy Ltd. Common Shares,$8.39,-0.13,-1.526%,648576684.00,Canada,2022,74900,Energy,Oil & Gas Production
