Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$3.98,0.01,0.252%,10166958.00,United States,,5863,Finance,Real Estate
ACU,Acme United Corporation. Common Stock,$45.01,-1.36,-2.933%,164070452.00,United States,1988,5827,Consumer Discretionary,Industrial Machinery/Components
ADRT,Ault Disruptive Technologies Corporation Common Stock,$13.00,0.00,0.00%,186875000.00,,2022,6,Finance,Blank Checks
AE,Adams Resources & Energy Inc. Common Stock,$29.50,-0.43,-1.437%,75716146.00,United States,1980,380,Energy,Oil Refining/Marketing
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,$5.11,0.06,1.188%,548622375.00,United States,,14765,Finance,Finance/Investors Services
AEON,AEON Biopharma Inc. Class A Common Stock,$8.15,-0.25,-2.976%,307979193.00,United States,,3289,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$0.493,0.0008,0.163%,24601280.00,United States,1997,78288,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$4.68,-0.07,-1.474%,15041403.00,United States,2014,137456,Consumer Discretionary,Professional Services
AIRI,Air Industries Group Common Stock,$4.66,-0.345,-6.893%,15392190.00,United States,,5461,Industrials,Military/Government/Technical
AMBI,Ambipar Emergency Response Class A Ordinary Shares,$5.29,0.00,0.00%,293223907.00,,,49,Industrials,Environmental Services
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),$1.77,0.11,6.627%,5055786.00,China,,15153,Real Estate,Other Consumer Services
AMPE,Ampio Pharmaceuticals Inc.,$0.8435,0.00,0.00%,957674.00,United States,2022,1237,Health Care,Biotechnology: Pharmaceutical Preparations
AMS,American Shared Hospital Services Common Stock,$2.95,0.02,0.683%,18673500.00,United States,1988,1244,Health Care,Medical Specialities
APT,Alpha Pro Tech Ltd. Common Stock,$6.46,-0.02,-0.309%,74044740.00,Canada,2000,8332,Health Care,Industrial Specialties
AREN,The Arena Group Holdings Inc. Common Stock,$0.8301,-0.0169,-1.995%,24712536.00,United States,2022,1872,Health Care,Medical/Dental Instruments
ARMN,Aris Mining Corporation Common Shares,$3.68,0.05,1.377%,507940799.00,,2023,84085,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$3.78,0.00,0.00%,136641477.00,United States,,113,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$0.78,-0.03,-3.704%,98128795.00,Canada,,911777,,
ASXC,Asensus Surgical Inc. Common Stock,$0.2628,-0.0042,-1.573%,71478018.00,United States,,524122,Health Care,Medical/Dental Instruments
ATCH,AtlasClear Holdings Inc. Common Stock,$1.56,-0.02,-1.266%,18379544.00,,2024,1407,Finance,Finance: Consumer Services
ATEK,Athena Technology Acquisition Corp. II Class A Common Stock,$11.20,0.00,0.00%,0.00,,2022,46,Finance,Blank Checks
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$9.33,-0.21,-2.201%,274268515.00,United States,,87140,Health Care,Biotechnology: Pharmaceutical Preparations
AULT,Ault Alliance Inc. Common Stock,$0.3642,0.0034,0.942%,1027918.00,United States,1997,421673,Technology,Industrial Machinery/Components
AULT^D,Ault Alliance Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock,$23.72,0.00,0.00%,,United States,,50,,
AUMN,Golden Minerals Company Common Stock,$0.7661,0.0763,11.061%,11164568.00,United States,,887812,Basic Materials,Precious Metals
AUST,Austin Gold Corp. Common Shares,$1.305,0.015,1.163%,17319634.00,,2022,22571,,
AWX,Avalon Holdings Corporation Common Stock,$2.31,0.00,0.00%,9007686.00,United States,1998,51,Utilities,Environmental Services
AXIL,AXIL Brands Inc. Common Stock,$12.63,-0.3699,-2.845%,73934088.00,,2024,195,Consumer Discretionary,Package Goods/Cosmetics
AZTR,Azitra Inc Common Stock,$0.2164,-0.0226,-9.456%,6233325.00,,2023,336728,Health Care,Biotechnology: Pharmaceutical Preparations
BACA,Berenson Acquisition Corp. I Class A Common Stock,$10.38,0.00,0.00%,0.00,,2021,19,Finance,Blank Checks
BATL,Battalion Oil Corporation Common Stock,$6.55,0.05,0.769%,107790488.00,United States,,3302,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$15.62,0.08,0.515%,0.00,United States,1972,1213,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$23.10,0.00,0.00%,,United States,,11,,
BDL,Flanigan's Enterprises Inc. Common Stock,$27.54,-0.78,-2.754%,51187138.00,United States,1972,1035,Consumer Discretionary,Restaurants
BEEP,Mobile Infrastructure Corporation Common Stock,$3.79,0.03,0.798%,0.00,,2023,2626,Finance,Blank Checks
BGI,Birks Group Inc. Common Stock,$3.23,0.0599,1.89%,35433100.00,Canada,,187,Consumer Discretionary,Consumer Specialties
BHB,Bar Harbor Bankshares Inc. Common Stock,$25.40,0.36,1.438%,385699533.00,United States,1997,937,Finance,Major Banks
BHM,Bluerock Homes Trust Inc. Class A Common Stock,$16.90,0.4556,2.771%,65567843.00,,2022,1985,Real Estate,Real Estate Investment Trusts
BITE,Bite Acquisition Corp. Common Stock,$10.76,0.00,0.00%,0.00,,2021,4,Finance,Blank Checks
BKTI,BK Technologies Corporation Common Stock,$15.15,0.36,2.434%,53403780.00,United States,,1003,Technology,Radio And Television Broadcasting And Communications Equipment
BLUA,BlueRiver Acquisition Corp. Class A Ordinary Shares,$10.90,0.015,0.138%,0.00,,2021,1900,Finance,Blank Checks
BMTX,BM Technologies Inc. Common Stock,$1.68,0.07,4.348%,19941474.00,,2018,468,Finance,Major Banks
BQ,Boqii Holding Limited American Depositary Shares representing Class A Ordinary Shares,$0.2402,-0.0004,-0.166%,1563259.00,,2020,24188,Consumer Discretionary,Other Specialty Stores
BRBS,Blue Ridge Bankshares Inc. Common Stock,$2.7438,-0.0262,-0.946%,52676512.00,United States,,23404,Finance,Commercial Banks
BRN,Barnwell Industries Inc. Common Stock,$2.6899,0.0199,0.745%,26974559.00,United States,1965,3616,Energy,Oil & Gas Production
