"Date","Price","Open","High","Low","Vol.","Change %"
"04/18/2024","3.56","3.54","3.59","3.54","930.22M","0.17%"
"04/17/2024","3.55","3.51","3.56","3.49","996.47M","1.31%"
"04/16/2024","3.51","3.52","3.54","3.49","913.23M","-0.90%"
"04/15/2024","3.54","3.47","3.55","3.46","1.10B","2.11%"
"04/12/2024","3.47","3.49","3.51","3.46","740.51M","-0.80%"
"04/11/2024","3.49","3.48","3.51","3.47","539.12M","0.00%"
"04/10/2024","3.50","3.52","3.52","3.48","681.67M","-0.74%"
"04/09/2024","3.52","3.53","3.53","3.51","534.54M","-0.17%"
"04/08/2024","3.53","3.55","3.56","3.52","709.95M","-0.82%"
"04/03/2024","3.56","3.57","3.57","3.55","598.35M","-0.39%"
"04/02/2024","3.57","3.58","3.59","3.56","583.19M","-0.33%"
"04/01/2024","3.58","3.54","3.59","3.54","1.09B","1.64%"
"03/29/2024","3.53","3.51","3.53","3.51","651.20M","0.46%"
"03/28/2024","3.51","3.49","3.54","3.48","1.03B","0.49%"
"03/27/2024","3.49","3.53","3.53","3.49","874.65M","-1.08%"
"03/26/2024","3.53","3.52","3.54","3.51","879.10M","0.31%"
"03/25/2024","3.52","3.53","3.56","3.52","630.54M","-0.54%"
"03/22/2024","3.54","3.57","3.57","3.51","1.45B","-0.87%"
"03/21/2024","3.57","3.58","3.59","3.57","619.73M","0.00%"
"03/20/2024","3.57","3.56","3.58","3.56","537.96M","0.00%"
"03/19/2024","3.57","3.59","3.60","3.57","654.88M","-0.64%"
"03/18/2024","3.59","3.56","3.59","3.56","787.33M","0.87%"
"03/15/2024","3.56","3.54","3.57","3.52","849.02M","0.25%"
"03/14/2024","3.55","3.56","3.59","3.54","701.88M","-0.36%"
"03/13/2024","3.57","3.59","3.59","3.56","685.87M","-0.59%"
"03/12/2024","3.59","3.58","3.60","3.57","1.11B","0.00%"
"03/11/2024","3.58","3.53","3.58","3.53","1.12B","1.36%"
"03/08/2024","3.53","3.53","3.54","3.50","862.19M","0.28%"
"03/07/2024","3.52","3.54","3.56","3.52","1.06B","-0.54%"
"03/06/2024","3.54","3.55","3.57","3.54","1.30B","-0.39%"
"03/05/2024","3.56","3.52","3.57","3.51","2.80B","0.82%"
"03/04/2024","3.53","3.53","3.54","3.51","1.01B","0.00%"
"03/01/2024","3.53","3.50","3.54","3.49","1.23B","0.77%"
"02/29/2024","3.50","3.44","3.51","3.44","1.48B","1.60%"
"02/28/2024","3.45","3.49","3.51","3.45","2.85B","-1.03%"
"02/27/2024","3.48","3.43","3.49","3.43","1.05B","1.19%"
"02/26/2024","3.44","3.48","3.48","3.44","1.12B","-1.01%"
"02/23/2024","3.48","3.47","3.50","3.46","1.09B","0.00%"
"02/22/2024","3.47","3.45","3.48","3.44","944.64M","0.75%"
"02/21/2024","3.45","3.39","3.50","3.38","1.60B","1.41%"
"02/20/2024","3.40","3.38","3.40","3.37","980.17M","0.35%"
"02/19/2024","3.39","3.37","3.39","3.36","1.49B","0.80%"
"02/08/2024","3.36","3.35","3.37","3.33","2.39B","0.66%"
"02/07/2024","3.34","3.31","3.34","3.29","3.47B","0.88%"
"02/06/2024","3.31","3.18","3.31","3.18","2.01B","3.21%"
"02/05/2024","3.21","3.16","3.23","3.11","2.66B","0.63%"
"02/02/2024","3.19","3.22","3.23","3.10","2.54B","-0.93%"
"02/01/2024","3.22","3.20","3.25","3.19","1.89B","0.00%"
"01/31/2024","3.22","3.23","3.25","3.20","1.91B","-0.65%"
"01/30/2024","3.24","3.28","3.30","3.24","1.89B","-1.70%"
"01/29/2024","3.30","3.33","3.35","3.30","1.01B","-0.90%"
"01/26/2024","3.33","3.33","3.35","3.31","2.18B","-0.18%"
"01/25/2024","3.34","3.27","3.34","3.26","1.65B","1.71%"
"01/24/2024","3.28","3.24","3.28","3.19","2.28B","1.58%"
"01/23/2024","3.23","3.20","3.25","3.19","1.39B","0.69%"
"01/22/2024","3.21","3.27","3.28","3.19","4.65B","-2.11%"
"01/19/2024","3.28","3.25","3.29","3.24","3.69B","0.21%"
"01/18/2024","3.27","3.22","3.28","3.17","4.75B","-0.73%"
"01/17/2024","3.29","3.36","3.36","3.29","1.29B","-2.23%"
"01/16/2024","3.37","3.34","3.37","3.33","1.77B","0.66%"
"01/15/2024","3.35","3.33","3.38","3.32","905.57M","0.00%"
"01/12/2024","3.35","3.35","3.38","3.35","841.33M","-0.33%"
"01/11/2024","3.36","3.34","3.38","3.33","1.27B","0.57%"
"01/10/2024","3.34","3.35","3.38","3.33","958.25M","-0.48%"
"01/09/2024","3.36","3.35","3.37","3.34","1.13B","0.24%"
"01/08/2024","3.35","3.39","3.40","3.35","1.73B","-1.38%"
"01/05/2024","3.40","3.40","3.44","3.38","1.70B","-0.50%"
"01/04/2024","3.41","3.44","3.44","3.39","1.67B","-0.87%"
"01/03/2024","3.44","3.45","3.46","3.43","1.06B","-0.29%"
"01/02/2024","3.45","3.50","3.50","3.45","942.93M","-1.31%"
"12/29/2023","3.50","3.49","3.51","3.48","2.52B","0.29%"
"12/28/2023","3.49","3.40","3.50","3.40","2.38B","2.47%"
"12/27/2023","3.40","3.40","3.41","3.38","836.17M","0.29%"
"12/26/2023","3.39","3.41","3.41","3.38","777.17M","-0.59%"
"12/25/2023","3.41","3.40","3.42","3.40","1.00B","0.26%"
"12/22/2023","3.41","3.40","3.43","3.38","2.08B","0.18%"
"12/21/2023","3.40","3.36","3.41","3.35","1.59B","0.92%"
"12/20/2023","3.37","3.40","3.41","3.37","1.03B","-0.91%"
"12/19/2023","3.40","3.40","3.41","3.38","1.10B","0.00%"
"12/18/2023","3.40","3.40","3.42","3.38","847.30M","-0.41%"
"12/15/2023","3.41","3.43","3.45","3.40","899.98M","-0.20%"
"12/14/2023","3.42","3.45","3.46","3.41","741.53M","-0.47%"
"12/13/2023","3.43","3.48","3.49","3.43","708.81M","-1.66%"
"12/12/2023","3.49","3.48","3.49","3.47","640.72M","0.23%"
"12/11/2023","3.48","3.44","3.50","3.41","998.25M","0.69%"
"12/08/2023","3.46","3.45","3.47","3.45","709.20M","0.20%"
"12/07/2023","3.45","3.46","3.47","3.43","934.51M","-0.26%"
"12/06/2023","3.46","3.45","3.48","3.44","1.00B","0.14%"
"12/05/2023","3.46","3.52","3.52","3.46","1.01B","-1.87%"
"12/04/2023","3.52","3.55","3.55","3.52","692.52M","-0.68%"
"12/01/2023","3.55","3.56","3.57","3.52","860.47M","-0.39%"
"11/30/2023","3.56","3.55","3.57","3.55","667.81M","0.00%"
"11/29/2023","3.56","3.59","3.59","3.55","759.06M","-0.75%"
"11/28/2023","3.59","3.58","3.59","3.57","727.48M","0.00%"
"11/27/2023","3.58","3.60","3.60","3.56","776.30M","-0.67%"
"11/24/2023","3.61","3.63","3.63","3.60","743.45M","-0.69%"
"11/23/2023","3.63","3.61","3.63","3.60","774.97M","0.53%"
"11/22/2023","3.61","3.64","3.65","3.61","762.20M","-1.07%"
"11/21/2023","3.65","3.65","3.69","3.64","931.60M","0.14%"
"11/20/2023","3.64","3.64","3.66","3.61","858.43M","0.30%"
"11/17/2023","3.63","3.63","3.64","3.61","1.20B","0.00%"
"11/16/2023","3.64","3.67","3.67","3.64","881.56M","-0.98%"
"11/15/2023","3.67","3.68","3.69","3.66","994.06M","0.68%"
"11/14/2023","3.65","3.65","3.67","3.63","753.32M","0.00%"
"11/13/2023","3.65","3.66","3.67","3.63","674.46M","0.00%"
"11/10/2023","3.65","3.67","3.67","3.64","784.18M","-0.73%"
"11/09/2023","3.68","3.67","3.69","3.67","818.57M","0.00%"
"11/08/2023","3.68","3.68","3.70","3.66","1.14B","-0.30%"
"11/07/2023","3.69","3.69","3.70","3.68","657.53M","-0.30%"
"11/06/2023","3.70","3.67","3.70","3.67","1.18B","1.31%"
"11/03/2023","3.65","3.63","3.67","3.63","1.06B","0.77%"
"11/02/2023","3.63","3.65","3.67","3.62","1.08B","-0.47%"
"11/01/2023","3.64","3.68","3.68","3.63","811.98M","0.00%"
"10/31/2023","3.64","3.64","3.65","3.62","839.66M","-0.22%"
"10/30/2023","3.65","3.62","3.66","3.62","961.40M","0.44%"
"10/27/2023","3.64","3.57","3.65","3.57","1.65B","1.51%"
"10/26/2023","3.58","3.56","3.59","3.55","1.14B","0.36%"
"10/25/2023","3.57","3.59","3.60","3.57","1.38B","0.56%"
"10/24/2023","3.55","3.55","3.56","3.52","1.54B","0.14%"
"10/23/2023","3.54","3.57","3.57","3.51","2.71B","-1.06%"
"10/20/2023","3.58","3.58","3.60","3.57","1.74B","-0.50%"
"10/19/2023","3.60","3.66","3.66","3.60","1.69B","-2.09%"
"10/18/2023","3.68","3.70","3.70","3.67","810.27M","-0.76%"
"10/17/2023","3.70","3.70","3.71","3.69","888.06M","0.32%"
"10/16/2023","3.69","3.74","3.74","3.68","1.14B","-1.15%"
"10/13/2023","3.74","3.75","3.75","3.72","1.14B","-0.93%"
"10/12/2023","3.77","3.77","3.79","3.75","933.52M","0.96%"
"10/11/2023","3.73","3.74","3.76","3.73","893.50M","0.21%"
"10/10/2023","3.73","3.77","3.78","3.72","927.93M","-0.72%"
"10/09/2023","3.75","3.76","3.77","3.71","875.21M","-0.27%"
"09/28/2023","3.76","3.79","3.79","3.76","1.12B","-0.37%"
"09/27/2023","3.78","3.77","3.81","3.77","1.08B","0.27%"
"09/26/2023","3.77","3.79","3.80","3.77","862.91M","-0.55%"
"09/25/2023","3.79","3.81","3.81","3.78","700.91M","-0.73%"
"09/22/2023","3.82","3.74","3.82","3.73","1.25B","2.00%"
"09/21/2023","3.74","3.77","3.78","3.74","899.20M","-0.93%"
"09/20/2023","3.78","3.79","3.79","3.78","634.13M","-0.47%"
"09/19/2023","3.80","3.80","3.80","3.77","727.01M","0.00%"
"09/18/2023","3.80","3.78","3.81","3.76","985.93M","0.34%"
"09/15/2023","3.79","3.81","3.82","3.77","1.19B","-0.45%"
"09/14/2023","3.80","3.81","3.82","3.79","928.28M","0.00%"
"09/13/2023","3.81","3.83","3.84","3.79","1.03B","-0.65%"
"09/12/2023","3.83","3.83","3.85","3.83","594.94M","0.00%"
"09/11/2023","3.84","3.81","3.86","3.80","816.65M","0.74%"
"09/08/2023","3.81","3.82","3.83","3.80","818.64M","-0.55%"
"09/07/2023","3.83","3.88","3.88","3.83","941.04M","-1.36%"
"09/06/2023","3.88","3.88","3.89","3.87","715.18M","-0.26%"
"09/05/2023","3.89","3.91","3.91","3.88","629.77M","-0.69%"
"09/04/2023","3.92","3.89","3.93","3.87","1.19B","1.50%"
"09/01/2023","3.86","3.86","3.88","3.85","792.69M","0.60%"
"08/31/2023","3.84","3.86","3.87","3.83","838.47M","-0.49%"
"08/30/2023","3.86","3.86","3.88","3.85","1.04B","0.00%"
"08/29/2023","3.86","3.82","3.89","3.82","2.19B","0.57%"
"08/28/2023","3.84","4.01","4.01","3.81","2.82B","1.40%"
"08/25/2023","3.78","3.78","3.81","3.77","1.17B","-0.18%"
"08/24/2023","3.79","3.78","3.82","3.77","952.65M","0.61%"
"08/23/2023","3.77","3.81","3.82","3.76","1.08B","-1.44%"
"08/22/2023","3.82","3.82","3.84","3.77","1.33B","0.61%"
"08/21/2023","3.80","3.84","3.85","3.80","1.10B","-1.35%"
"08/18/2023","3.85","3.90","3.91","3.85","1.28B","-1.28%"
"08/17/2023","3.90","3.87","3.91","3.86","1.16B","0.33%"
"08/16/2023","3.89","3.90","3.92","3.89","855.85M","-0.77%"
"08/15/2023","3.92","3.93","3.93","3.88","816.52M","0.00%"
"08/14/2023","3.92","3.92","3.93","3.88","1.04B","-0.68%"
"08/11/2023","3.95","4.05","4.05","3.95","1.29B","-2.35%"
"08/10/2023","4.05","4.04","4.05","4.01","938.25M","0.12%"
"08/09/2023","4.04","4.04","4.05","4.03","1.33B","-0.20%"
"08/08/2023","4.05","4.05","4.07","4.03","1.12B","-0.37%"
"08/07/2023","4.06","4.08","4.08","4.05","1.28B","-0.76%"
"08/04/2023","4.09","4.11","4.13","4.08","1.42B","0.52%"
"08/03/2023","4.07","4.03","4.07","4.03","737.93M","0.89%"
"08/02/2023","4.04","4.06","4.08","4.03","789.44M","-0.71%"
"08/01/2023","4.07","4.08","4.11","4.05","1.14B","-0.44%"
"07/31/2023","4.08","4.10","4.14","4.07","1.79B","0.39%"
"07/28/2023","4.07","3.95","4.07","3.95","1.50B","2.42%"
"07/27/2023","3.97","3.98","4.00","3.96","602.47M","0.00%"
"07/26/2023","3.98","3.98","3.98","3.96","588.04M","-0.23%"
"07/25/2023","3.98","3.92","3.99","3.92","1.14B","2.89%"
"07/24/2023","3.87","3.87","3.90","3.86","454.98M","-0.44%"
"07/21/2023","3.89","3.89","3.92","3.88","727.25M","0.00%"
"07/20/2023","3.89","3.92","3.94","3.88","871.51M","-0.72%"
"07/19/2023","3.92","3.91","3.92","3.89","501.24M","0.00%"
"07/18/2023","3.92","3.92","3.93","3.90","266.67M","-0.15%"
"07/17/2023","3.92","3.95","3.95","3.91","448.61M","-0.71%"
"07/14/2023","3.95","3.96","3.96","3.95","363.26M","0.00%"
"07/13/2023","3.95","3.91","3.96","3.91","572.29M","1.62%"
"07/12/2023","3.89","3.91","3.92","3.88","389.41M","-0.49%"
"07/11/2023","3.91","3.90","3.91","3.89","587.44M","0.67%"
"07/10/2023","3.88","3.89","3.91","3.87","428.49M","0.41%"
"07/07/2023","3.87","3.88","3.88","3.86","302.28M","-0.28%"
"07/06/2023","3.88","3.90","3.92","3.87","346.74M","-0.72%"
"07/05/2023","3.91","3.93","3.93","3.90","271.22M","-0.69%"
"07/04/2023","3.93","3.92","3.94","3.92","252.12M","0.18%"
"07/03/2023","3.93","3.89","3.94","3.89","473.91M","1.16%"
"06/30/2023","3.88","3.86","3.90","3.85","529.92M","0.60%"
"06/29/2023","3.86","3.88","3.88","3.85","300.26M","-0.46%"
"06/28/2023","3.88","3.86","3.88","3.84","462.75M","0.21%"
"06/27/2023","3.87","3.84","3.88","3.84","397.10M","0.68%"
"06/26/2023","3.84","3.87","3.87","3.83","640.50M","-1.13%"
"06/21/2023","3.89","3.93","3.94","3.88","489.35M","-1.40%"
"06/20/2023","3.94","3.94","3.96","3.94","353.89M","-0.18%"
"06/19/2023","3.95","3.98","3.98","3.94","400.31M","-0.75%"
"06/16/2023","3.98","3.95","3.99","3.95","602.15M","0.94%"
"06/15/2023","3.94","3.89","3.94","3.88","508.43M","1.68%"
"06/14/2023","3.88","3.88","3.90","3.88","444.11M","0.00%"
"06/13/2023","3.88","3.84","3.88","3.84","350.39M","0.75%"
"06/12/2023","3.85","3.84","3.87","3.83","459.66M","0.00%"
"06/09/2023","3.84","3.83","3.85","3.82","527.07M","0.42%"
"06/08/2023","3.83","3.80","3.84","3.78","383.49M","0.84%"
"06/07/2023","3.80","3.82","3.83","3.78","372.18M","-0.32%"
"06/06/2023","3.81","3.85","3.87","3.80","411.57M","-0.96%"
"06/05/2023","3.85","3.86","3.86","3.84","361.15M","-0.47%"
"06/02/2023","3.86","3.83","3.87","3.83","692.98M","1.39%"
"06/01/2023","3.81","3.80","3.84","3.79","674.98M","0.21%"
"05/31/2023","3.80","3.83","3.83","3.79","733.88M","-0.94%"
"05/30/2023","3.84","3.83","3.85","3.79","572.10M","0.00%"
"05/29/2023","3.83","3.86","3.87","3.82","403.01M","-0.42%"
"05/26/2023","3.85","3.84","3.86","3.81","446.20M","0.00%"
"05/25/2023","3.85","3.85","3.86","3.81","491.86M","-0.23%"
"05/24/2023","3.85","3.90","3.90","3.85","767.28M","-1.36%"
"05/23/2023","3.91","3.97","3.97","3.91","611.76M","-1.44%"
"05/22/2023","3.96","3.94","3.98","3.93","500.38M","0.51%"
"05/19/2023","3.94","3.94","3.97","3.92","341.71M","-0.15%"
"05/18/2023","3.95","3.96","3.98","3.93","700.60M","0.00%"
"05/17/2023","3.95","3.97","3.98","3.94","640.58M","-0.68%"
"05/16/2023","3.98","3.99","4.00","3.96","406.82M","-0.43%"
"05/15/2023","3.99","3.93","4.00","3.92","810.76M","1.60%"
"05/12/2023","3.93","3.98","4.00","3.93","518.77M","-1.28%"
"05/11/2023","3.98","4.00","4.01","3.98","321.62M","0.00%"
"05/10/2023","3.99","4.02","4.02","3.98","916.59M","-0.77%"
"05/09/2023","4.02","4.06","4.09","4.02","566.89M","-0.86%"
"05/08/2023","4.05","4.02","4.06","4.01","684.82M","1.12%"
"05/05/2023","4.01","4.03","4.04","3.99","337.95M","-0.40%"
"05/04/2023","4.03","4.01","4.03","4.00","337.86M","0.00%"
"04/28/2023","4.03","4.00","4.03","3.99","451.81M","0.98%"
"04/27/2023","3.99","3.95","4.00","3.94","467.77M","0.89%"
"04/26/2023","3.95","3.96","3.97","3.93","903.47M","-0.23%"
"04/25/2023","3.96","3.98","3.99","3.92","966.43M","-0.48%"
"04/24/2023","3.98","4.03","4.03","3.96","594.09M","-1.27%"
"04/21/2023","4.03","4.10","4.11","4.02","683.65M","-1.78%"
"04/20/2023","4.10","4.12","4.12","4.09","607.31M","-0.39%"
"04/19/2023","4.12","4.15","4.15","4.11","408.57M","-0.79%"
"04/18/2023","4.15","4.14","4.16","4.14","416.05M","0.17%"
"04/17/2023","4.14","4.08","4.15","4.08","632.55M","1.49%"
"04/14/2023","4.08","4.07","4.09","4.07","456.03M","0.52%"
"04/13/2023","4.06","4.08","4.09","4.06","402.19M","-0.61%"
"04/12/2023","4.09","4.09","4.10","4.08","335.83M","0.00%"
