date,open,high,low,close,volume,amount
2012-05-28,2.11222,2.158588,2.106424,2.156104,1277518768.0,3285755328.0
2012-05-29,2.154448,2.2033,2.154448,2.189224,714949008.0,1875593360.0
2012-05-30,2.187567,2.191708,2.180115,2.1826,265887198.0,701725792.0
2012-05-31,2.17018,2.190052,2.163556,2.177632,178155984.0,468193104.0
2012-06-01,2.176804,2.202471,2.169352,2.177632,179350035.0,473477200.0
2012-06-04,2.15362,2.156104,2.115532,2.118016,546074272.0,1413413520.0
2012-06-05,2.121328,2.129608,2.11636,2.1205,127167495.0,326150608.0
2012-06-06,2.122156,2.131264,2.109736,2.118844,136922726.0,350839408.0
2012-06-07,2.134576,2.138716,2.0998,2.105596,336424016.0,860028336.0
2012-06-08,2.118016,2.119672,2.094832,2.098144,210182214.0,534630032.0
2012-06-11,2.105596,2.133748,2.0998,2.122984,225455591.0,576327104.0
2012-06-12,2.111392,2.121328,2.101456,2.109736,157723725.0,401878816.0
2012-06-13,2.119672,2.142856,2.111392,2.140372,188133567.0,483872800.0
2012-06-14,2.136232,2.151136,2.12878,2.131264,152554664.0,394044032.0
2012-06-15,2.137888,2.147824,2.117188,2.139544,159835267.0,411542176.0
2012-06-18,2.143684,2.159416,2.142856,2.146168,132126533.0,342959056.0
2012-06-19,2.144512,2.144512,2.129608,2.130436,105011686.0,270933104.0
2012-06-20,2.136232,2.142028,2.127952,2.127952,119277367.0,307520560.0
2012-06-21,2.122156,2.122984,2.084068,2.094832,179224170.0,453655584.0
2012-06-25,2.092348,2.092348,2.05012,2.053432,231481108.0,579443696.0
2012-06-26,2.046808,2.057572,2.038528,2.053432,185228901.0,458451968.0
2012-06-27,2.051776,2.064196,2.045152,2.04598,151365795.0,375457760.0
2012-06-28,2.053432,2.0584,2.032732,2.034388,169573950.0,418670240.0
2012-06-29,2.02942,2.060056,2.026936,2.057572,197204211.0,486289904.0
2012-07-02,2.065852,2.065852,2.05012,2.057572,186222256.0,463059440.0
2012-07-03,2.060056,2.08324,2.055088,2.060884,146903100.0,367051136.0
2012-07-04,2.065024,2.073304,2.056744,2.060884,110336405.0,275036928.0
2012-07-05,2.052604,2.052604,2.030248,2.0377,208773911.0,513592304.0
2012-07-06,2.04184,2.079928,2.030248,2.07082,175797830.0,436554832.0
2012-07-09,2.060884,2.069164,2.026936,2.02942,164864331.0,408098784.0
2012-07-10,2.027764,2.031076,2.018656,2.02114,204195965.0,499158640.0
2012-07-11,2.018656,2.035216,2.016172,2.030248,169297647.0,414092864.0
2012-07-12,2.02528,2.059228,2.017828,2.048464,266044440.0,655043264.0
2012-07-13,2.047636,2.06668,2.04598,2.051776,177890449.0,441479104.0
2012-07-16,2.05426,2.055088,2.017828,2.018656,227361107.0,556372736.0
2012-07-17,2.017828,2.027764,2.01286,2.022796,258532838.0,630134240.0
2012-07-18,2.02114,2.02942,1.99216,2.022796,315295936.0,766719584.0
2012-07-19,2.02114,2.047636,2.017828,2.02942,338043984.0,830268784.0
2012-07-20,2.024452,2.02942,2.009548,2.014516,270297808.0,659710352.0
2012-07-23,1.9963,1.9963,1.980568,1.989676,185688542.0,445845216.0
2012-07-24,1.984708,2.006236,1.983052,1.993816,230423665.0,554385072.0
2012-07-25,1.987192,1.998784,1.978912,1.981396,138906724.0,333627584.0
2012-07-26,1.983052,1.992988,1.970632,1.972288,254895999.0,610152256.0
2012-07-27,1.978084,1.98388,1.968148,1.974772,372468544.0,888581776.0
2012-07-30,1.978084,1.986364,1.964008,1.968148,230320619.0,549167616.0
2012-07-31,1.968976,1.974772,1.95904,1.96318,421498384.0,1001090736.0
2012-08-01,1.964008,1.98802,1.964008,1.978084,261555591.0,624664256.0
2012-08-02,1.9756,1.978084,1.953244,1.96318,208725821.0,495894112.0
2012-08-03,1.966492,1.9756,1.960696,1.974772,173736637.0,412710944.0
2012-08-06,1.973116,2.003752,1.972288,2.00044,314425728.0,755432640.0
2012-08-07,1.999612,2.00458,1.997128,2.002924,258440372.0,624693712.0
2012-08-08,2.006236,2.017,2.00044,2.00458,232950212.0,564756032.0
2012-08-09,2.005408,2.026936,1.997128,2.024452,201000366.0,488752016.0
2012-08-10,2.026108,2.026108,2.014516,2.018656,111870103.0,273056080.0
2012-08-13,2.01286,2.01286,1.978084,1.980568,295936640.0,713474272.0
2012-08-14,1.981396,1.98388,1.954072,1.977256,322602240.0,767577952.0
2012-08-15,1.973116,1.973116,1.957384,1.95904,191010978.0,453117712.0
2012-08-16,1.959868,1.962352,1.951589,1.953244,122866266.0,290402416.0
2012-08-17,1.953244,1.954072,1.933372,1.944964,175726529.0,412189232.0
2012-08-20,1.931716,1.939996,1.856369,1.934201,170506151.0,396240928.0
2012-08-21,1.934201,1.959868,1.931716,1.941653,234889417.0,552081888.0
2012-08-22,1.943308,1.944964,1.923437,1.927577,129801974.0,302900816.0
2012-08-23,1.931716,1.944137,1.922609,1.936684,167054637.0,390070496.0
