date,open,high,low,close,volume,amount
2021-02-08,1.006,1.012,0.993,1.001,880805008.0,883147456.0
2021-02-09,1.005,1.014,0.999,1.008,636869408.0,641345824.0
2021-02-10,1.02,1.045,1.02,1.044,846304096.0,876305264.0
2021-02-18,1.1,1.109,1.066,1.069,1307699296.0,1413185520.0
2021-02-19,1.069,1.069,1.037,1.064,696240800.0,733098528.0
2021-02-22,1.08,1.084,1.033,1.034,793996192.0,834453840.0
2021-02-23,1.014,1.026,1.001,1.012,714231504.0,724463840.0
2021-02-24,1.015,1.019,0.956,0.959,1354889408.0,1330404592.0
2021-02-25,0.975,0.978,0.954,0.96,845338704.0,816496080.0
2021-02-26,0.92,0.938,0.916,0.919,928990304.0,860353168.0
2021-03-01,0.934,0.944,0.93,0.941,625065456.0,585755792.0
2021-03-02,0.968,0.975,0.938,0.951,961358208.0,918783952.0
2021-03-03,0.944,0.953,0.934,0.949,531105600.0,500434336.0
2021-03-04,0.931,0.935,0.909,0.911,857556096.0,788628176.0
2021-03-05,0.885,0.909,0.872,0.901,935913104.0,830723584.0
2021-03-08,0.909,0.912,0.851,0.851,1046036400.0,913005568.0
2021-03-09,0.845,0.868,0.811,0.835,1261832480.0,1063912448.0
2021-03-10,0.873,0.876,0.856,0.857,1026007008.0,890289632.0
2021-03-11,0.86,0.899,0.859,0.893,1291210496.0,1146045904.0
2021-03-12,0.915,0.921,0.893,0.897,938358288.0,848236336.0
2021-03-15,0.894,0.895,0.856,0.861,928966800.0,812427536.0
2021-03-16,0.874,0.888,0.873,0.882,656059008.0,578378416.0
2021-03-17,0.883,0.899,0.876,0.888,627864400.0,558124000.0
2021-03-18,0.903,0.914,0.899,0.911,629856672.0,571813984.0
2021-03-19,0.887,0.9,0.88,0.883,779808480.0,692326528.0
2021-03-22,0.886,0.905,0.886,0.894,538715504.0,483269536.0
2021-03-23,0.901,0.902,0.861,0.867,993277296.0,871186704.0
2021-03-24,0.864,0.878,0.843,0.846,802991104.0,686158160.0
2021-03-25,0.824,0.839,0.813,0.834,1058381200.0,876291056.0
2021-03-26,0.84,0.863,0.838,0.854,886720704.0,753958992.0
2021-03-29,0.853,0.857,0.833,0.838,825839696.0,697620288.0
2021-03-30,0.85,0.862,0.845,0.857,613150400.0,524617840.0
