date,open,high,low,close,volume,amount
2007-01-18,1.219264,1.221679,1.163102,1.205978,236005974,466070565
2007-01-19,1.205374,1.233153,1.203563,1.231946,98642834,199196018
2007-01-22,1.238589,1.285088,1.238589,1.285088,56172127,117685923
2007-01-23,1.298374,1.313471,1.256705,1.309244,71730955,152652902
2007-01-24,1.310452,1.361783,1.305621,1.352121,53902834,119818958
2007-01-25,1.350913,1.350913,1.292335,1.295355,79236362,173112426
2007-01-26,1.268179,1.325549,1.23255,1.323738,77492472,163586554
2007-01-29,1.330984,1.363595,1.328569,1.363595,72045243,161225930
2007-01-30,1.365406,1.392582,1.356952,1.372049,68898143,156778200
2007-01-31,1.370238,1.370238,1.273011,1.277842,63762455,139513671
2007-02-01,1.268179,1.282069,1.219868,1.264556,94433091,196206858
2007-02-02,1.260933,1.274218,1.208394,1.212017,103061581,210178463
2007-02-05,1.195712,1.20779,1.177595,1.185446,56031617,110566528
2007-02-06,1.187257,1.207186,1.144381,1.206582,108148552,209717648
2007-02-07,1.213225,1.245835,1.205978,1.234361,58861299,119784338
2007-02-08,1.225907,1.253082,1.215037,1.250666,38868748,79712198
2007-02-09,1.250666,1.25127,1.222887,1.231946,26079870,53283819
2007-02-12,1.230738,1.280257,1.226511,1.279653,37964055,79004591
2007-02-13,1.280861,1.303809,1.279653,1.299582,28273944,60488529
2007-02-14,1.299582,1.340647,1.291127,1.3334,28426703,62348629
2007-02-15,1.349705,1.388958,1.343666,1.387751,51981005,117922321
2007-02-16,1.413114,1.424588,1.387751,1.40164,63079149,146866539
2007-02-26,1.397413,1.4729,1.397413,1.470484,101395848,241804859
2007-02-27,1.480147,1.484374,1.328569,1.334608,97251862,224873343
2007-02-28,1.329173,1.407075,1.303809,1.400432,104997575,234850698
2007-03-01,1.400432,1.40164,1.310452,1.364199,52368627,118633678
2007-03-02,1.358764,1.387147,1.346686,1.373861,52819419,119761224
2007-03-05,1.370842,1.394393,1.310452,1.349705,55639692,124321501
2007-03-06,1.335212,1.37688,1.328569,1.361783,44739596,100517025
2007-03-07,1.366614,1.401036,1.366614,1.391374,57836160,133094897
2007-03-08,1.387147,1.402244,1.382919,1.400432,63657508,147294082
2007-03-09,1.402244,1.413114,1.386543,1.399829,36039203,83670424
2007-03-12,1.400432,1.411906,1.380504,1.410699,35938100,83340364
2007-03-13,1.407075,1.422173,1.40164,1.417341,26631477,62355245
2007-03-14,1.39379,1.394997,1.367822,1.381712,34105292,78012944
2007-03-15,1.380504,1.410699,1.37688,1.409491,29522435,68573314
2007-03-16,1.410095,1.418549,1.368426,1.373861,34840903,80221181
2007-03-19,1.346686,1.407075,1.332796,1.399829,40631700,92961768
2007-03-20,1.399225,1.414322,1.391374,1.41251,21849554,50801233
2007-03-21,1.41251,1.432439,1.407679,1.430627,26671483,62951022
2007-03-22,1.431835,1.464445,1.431835,1.442101,36653558,87980307
2007-03-23,1.439082,1.45116,1.414322,1.447536,26549499,63038637
2007-03-26,1.445121,1.481354,1.445121,1.48075,40492515,98449115
2007-03-27,1.480147,1.493432,1.479543,1.491017,39120854,96358365
2007-03-28,1.491017,1.50853,1.442101,1.503698,54155145,133263633
2007-03-29,1.506718,1.520607,1.479543,1.495244,50330675,125533816
2007-03-30,1.489809,1.510341,1.479543,1.495848,17344149,42960704
2007-04-02,1.498867,1.554425,1.498867,1.550802,37505814,95148913
2007-04-03,1.555633,1.582205,1.55503,1.566504,27862623,72374840
2007-04-04,1.569523,1.579789,1.55503,1.567107,26550276,68826053
2007-04-05,1.567107,1.588244,1.556237,1.585224,30783993,80058391
2007-04-06,1.582205,1.600322,1.570127,1.599114,32480436,85600734
2007-04-09,1.600926,1.65588,1.600926,1.647425,20960520,56947783
2007-04-10,1.649237,1.679432,1.630516,1.678828,33666868,92743749
2007-04-11,1.679432,1.701776,1.668562,1.701776,41772312,117037331
2007-04-12,1.70238,1.725932,1.695737,1.725328,23838532,67455616
2007-04-13,1.725328,1.73801,1.706607,1.714458,23780710,67761180
2007-04-16,1.712042,1.756127,1.710834,1.754315,21643363,62255095
2007-04-17,1.756127,1.778471,1.715062,1.778471,34264182,99364758
2007-04-18,1.778471,1.794172,1.756127,1.789341,23639439,69643856
2007-04-19,1.775451,1.78149,1.660711,1.703588,51752721,148274364
2007-04-20,1.708419,1.775451,1.708419,1.770016,29545567,85404706
2007-04-23,1.776659,1.875698,1.776659,1.873886,23131439,70646762
2007-04-24,1.902269,1.934276,1.876906,1.913139,54346868,172198604
2007-04-25,1.909516,1.998892,1.872074,1.908308,54467679,173065804
2007-04-26,1.908308,1.9536,1.908308,1.938503,42820672,137098903
2007-04-27,1.943938,1.950581,1.903477,1.928237,50801883,162180066
2007-04-30,1.926425,1.954808,1.910724,1.9536,37822714,121115631
2007-05-08,1.992853,2.0466,1.992853,2.045996,36861443,123890865
2007-05-09,2.045392,2.07136,1.992853,2.055658,47975937,161677949
2007-05-10,2.055055,2.111821,2.0466,2.093704,32139304,110816112
2007-05-11,2.094308,2.094308,2.050223,2.075587,117344073,402765084
2007-05-14,2.059282,2.107593,1.992853,2.098535,181712932,625642641
2007-05-15,2.10095,2.102762,2.005535,2.010366,85962069,291174083
2007-05-16,2.004931,2.050827,1.950581,2.045392,102934610,342413272
2007-05-17,2.050223,2.100347,2.048412,2.084041,67252135,232043363
2007-05-18,2.078002,2.105782,2.065321,2.09008,64575685,223781617
2007-05-21,2.041769,2.119671,2.027879,2.108801,63745136,220722454
2007-05-22,2.108801,2.154697,2.108801,2.135976,30754046,108870554
2007-05-23,2.137788,2.193347,2.12873,2.190931,41608725,148696704
2007-05-24,2.192743,2.204217,2.134769,2.169795,79251965,283585862
2007-05-25,2.146243,2.180061,2.132353,2.172814,48733119,174782585
2007-05-28,2.180061,2.233203,2.180061,2.224145,45055885,165678668
2007-05-29,2.235015,2.285138,2.231392,2.283931,39518493,147676447
2007-05-30,2.167379,2.264606,2.101554,2.113632,117161584,421828938
2007-05-31,2.085249,2.178853,1.977756,2.138996,116596752,402319252
2007-06-01,2.129937,2.174626,2.027879,2.029087,71687273,249837377
2007-06-04,2.041165,2.065321,1.83886,1.84188,100179445,316661080
2007-06-05,1.827386,1.932464,1.686075,1.926425,161223225,485797469
2007-06-06,1.943938,1.972321,1.872074,1.941522,110233056,354862981
2007-06-07,1.951185,2.01399,1.942126,2.010366,86719337,284279144
2007-06-08,2.017009,2.030295,1.995873,2.023652,95391956,318510927
2007-06-11,2.020633,2.054451,2.020633,2.047204,68161840,230000363
2007-06-12,2.050223,2.1396,2.02184,2.137788,57542340,197786415
2007-06-13,2.155905,2.205424,2.155905,2.195762,51224963,185375515
2007-06-14,2.177041,2.180061,2.124502,2.142015,54282783,193847325
2007-06-15,2.141412,2.155301,2.112424,2.135976,56925729,201107518
2007-06-18,2.152885,2.198781,2.152885,2.186704,53408957,193556637
2007-06-19,2.178249,2.227165,2.174022,2.20784,38412264,140025501
2007-06-20,2.204217,2.25132,2.161944,2.174022,49704361,182651267
2007-06-21,2.162548,2.192139,2.142015,2.184288,33316206,119977918
2007-06-22,2.181872,2.204217,2.059282,2.116048,43157935,153577677
2007-06-25,2.119067,2.135373,1.981379,1.991042,41048278,139840839
2007-06-26,1.954204,2.035126,1.932464,2.030899,55361423,180597304
2007-06-27,2.038146,2.088269,2.016405,2.083438,39326036,133409590
2007-06-28,2.06834,2.089477,1.98621,1.986814,32905586,111604835
2007-06-29,1.934879,1.977756,1.905289,1.914951,32369354,103769037
2007-07-02,1.89925,1.960847,1.884152,1.934276,45050615,143155221
2007-07-03,1.946353,1.980172,1.935483,1.970509,18288702,59434193
2007-07-04,1.971113,1.983191,1.925821,1.933672,20705602,67332947
