Date,Open,High,Low,Close,Volume
2007-03-01,20.043244,20.432083,18.359611,18.756467,197763
2007-03-02,18.840649,19.01703,18.39168,18.604139,42504
2007-03-05,18.431767,18.507931,17.449648,17.790383,41919
2007-03-06,17.638054,18.439784,17.537838,18.139135,29772
2007-03-07,18.15517,18.800562,18.002841,18.632199,28746
2007-03-08,18.479871,18.57207,18.311507,18.407715,13098
2007-03-09,18.399698,18.479871,17.91866,18.251378,16088
2007-03-12,18.159179,18.159179,17.838487,17.922668,14535
2007-03-13,17.962755,18.143144,17.886591,17.994824,10231
2007-03-14,17.758314,18.079006,17.553873,18.014867,17330
2007-03-15,18.247369,18.636208,17.958746,18.022885,15252
2007-03-16,18.034911,18.419741,17.7984,18.123101,22754
2007-03-20,18.760476,18.80858,18.239352,18.351594,22202
2007-03-21,18.359611,18.439784,17.998833,18.079006,13672
2007-03-22,18.219308,18.407715,18.131118,18.183231,16750
2007-03-23,18.175213,18.251378,17.922668,18.103058,13981
2007-03-26,18.119092,18.519957,18.111075,18.415732,22326
2007-03-27,18.355602,18.584095,18.291464,18.403706,13933
2007-03-28,18.399698,18.800562,18.271421,18.672286,25826
2007-03-29,18.764485,19.558197,18.632199,19.000995,46198
2007-03-30,18.824614,19.189401,18.728407,18.860692,14461
2007-04-02,18.860692,19.522119,18.860692,19.397851,23144
2007-04-03,19.409877,19.546171,19.201427,19.325695,13271
2007-04-04,19.329704,19.441946,19.061125,19.157332,12245
2007-04-05,19.161341,19.241514,18.920822,19.209445,12286
2007-04-06,19.113237,19.622335,19.041081,19.245523,19520
2007-04-09,19.277592,20.800878,19.121254,20.688636,46277
2007-04-10,20.444108,21.518426,20.444108,21.173683,40782
2007-04-11,21.197734,22.119724,21.085492,21.462305,24344
2007-04-12,21.638686,23.250163,21.225795,21.422219,15927
2007-04-13,21.68679,22.624813,21.646703,22.059594,26668
2007-04-16,22.312139,22.668909,22.312139,22.616796,14697
2007-04-17,22.628822,22.857315,21.486357,22.107698,19724
2007-04-18,22.039551,22.083646,21.406184,21.610625,13032
2007-04-19,21.446271,21.766963,20.127425,20.836956,20558
2007-04-20,21.109544,22.608779,20.993293,22.183862,18569
2007-04-23,22.195888,23.077791,21.999464,22.84128,14693
2007-04-24,23.246154,23.254171,22.348217,22.376277,16047
2007-04-25,22.095672,23.129903,22.01149,22.733047,14593
2007-04-26,22.680934,23.522751,22.680934,23.454604,18496
2007-04-27,23.470638,25.799663,23.370422,25.495006,38983
2007-04-30,25.33466,27.190664,25.005951,26.396952,20419
2007-05-08,27.178638,27.250794,26.056217,26.344839,13232
2007-05-09,25.855784,26.777773,25.254487,26.344839,11181
2007-05-10,26.360874,26.457082,25.775611,25.847767,8584
2007-05-11,25.454919,25.615265,24.512887,25.178323,16059
2007-05-14,24.773449,26.733678,24.051892,25.65936,17174
2007-05-15,25.815698,25.851776,24.633146,24.665216,11153
